n_estimators,max_depth,learning_rate,subsample,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
50,5,0.05,0.5,0.6959309536573528,0.5622426711082525,UP,0.6909131407737732,0.3090868592262268
200,3,0.03,0.5,0.6961002089771279,0.5568198684015238,UP,0.6704319715499878,0.3295680284500122
250,9,0.01,0.5,0.6966381750399752,0.5595381410203554,UP,0.6336494088172913,0.36635059118270874
100,7,0.03,0.8,0.6970864582706677,0.5649417041837762,UP,0.7311111092567444,0.2688888907432556
150,3,0.05,1.0,0.6981079317343251,0.5710351424001056,UP,0.7530736327171326,0.24692636728286743
50,7,0.05,0.5,0.6985684059093882,0.5520704497105823,UP,0.529808521270752,0.47019147872924805
50,7,0.05,0.8,0.6987050002193057,0.5602115250361428,UP,0.731268048286438,0.268731951713562
250,9,0.01,0.8,0.7004404509240132,0.5717277659592012,UP,0.7161709666252136,0.2838290333747864
150,3,0.05,0.8,0.7005246465638685,0.5608986515828648,UP,0.681171178817749,0.318828821182251
300,3,0.03,0.8,0.7005642770549866,0.560893154570491,UP,0.6837466359138489,0.3162533640861511
300,7,0.01,0.8,0.7006014878455232,0.5608904060643041,UP,0.7056670188903809,0.29433298110961914
100,5,0.03,0.5,0.7007140783817051,0.541260574877554,UP,0.6343905925750732,0.36560940742492676
100,3,0.05,0.5,0.7008419746401833,0.5534447028040259,UP,0.6829802393913269,0.3170197606086731
100,5,0.05,1.0,0.7011723997836136,0.5581886244825937,UP,0.731332540512085,0.26866745948791504
200,7,0.01,1.0,0.7016770993084492,0.5602280160732642,UP,0.611579418182373,0.38842058181762695
50,5,0.1,1.0,0.7022123160809003,0.5595436380327292,UP,0.8462428450584412,0.15375715494155884
300,9,0.01,0.5,0.7022324684661668,0.568338857830769,UP,0.6626173853874207,0.33738261461257935
300,3,0.03,1.0,0.7025682261327787,0.566972850255886,UP,0.7472195625305176,0.2527804374694824
250,3,0.03,0.5,0.703080309941778,0.5622426711082525,UP,0.682352602481842,0.31764739751815796
150,5,0.03,0.8,0.7036917442678862,0.5574987494296849,UP,0.7282325029373169,0.2717674970626831
200,9,0.01,1.0,0.7043469504775078,0.5548134588850959,UP,0.7027275562286377,0.2972724437713623
50,9,0.05,0.5,0.7046917942288631,0.5554923399132571,UP,0.5640097260475159,0.43599027395248413
300,3,0.03,0.5,0.706483900214364,0.5534474513102129,UP,0.7130210399627686,0.28697896003723145
250,7,0.01,1.0,0.7067634178195562,0.562943540185909,UP,0.6293730735778809,0.37062692642211914
300,9,0.01,0.8,0.7074709481715177,0.5710488849310399,UP,0.7483599781990051,0.2516400218009949
50,9,0.05,0.8,0.7084101271549574,0.5487172721625796,UP,0.7670455574989319,0.23295444250106812
200,3,0.05,1.0,0.70879840129369,0.5608821605457434,UP,0.7561421990394592,0.24385780096054077
200,5,0.03,1.0,0.7092412093566298,0.5764661906253951,UP,0.7143427133560181,0.28565728664398193
100,9,0.03,0.8,0.7099593723963901,0.5683306123122083,UP,0.7219864726066589,0.27801352739334106
100,5,0.05,0.8,0.7101752923191079,0.5581858759764068,UP,0.747229814529419,0.25277018547058105
300,7,0.01,1.0,0.7114941530039586,0.564287559711297,UP,0.6362210512161255,0.3637789487838745
50,7,0.05,1.0,0.7126811202262752,0.534499249657811,UP,0.6426931619644165,0.3573068380355835
100,3,0.1,1.0,0.7129548786176708,0.5541125898074396,UP,0.7678667306900024,0.23213326930999756
150,3,0.05,0.5,0.7132892619518837,0.554810710378909,UP,0.7274819612503052,0.2725180387496948
200,3,0.05,0.8,0.7134102001869214,0.5446439859936124,UP,0.6904098987579346,0.30959010124206543
100,7,0.03,0.5,0.714001935507819,0.5534419542978392,UP,0.7227351665496826,0.2772648334503174
150,5,0.03,0.5,0.7147268799771304,0.551416305238103,UP,0.6592504978179932,0.34074950218200684
100,7,0.03,1.0,0.714778708638027,0.5568281139200845,UP,0.6379490494728088,0.36205095052719116
250,9,0.01,1.0,0.7155608659243962,0.5460017480499348,UP,0.7318915128707886,0.2681084871292114
50,9,0.05,1.0,0.716478632655587,0.5568363594386451,UP,0.7744272947311401,0.22557270526885986
150,7,0.03,0.8,0.7164848377664071,0.5629160551240401,UP,0.7759934663772583,0.2240065336227417
